condition,symptoms
Ehlers-Danlos syndromes,"an increased range of joint movement (joint hypermobility), stretchy skin, fragile skin that breaks or bruises easily"
Encephalitis,"confusion or disorientation, seizures or fits, changes in personality and behaviour, difficulty speaking, weakness or loss of movement in some parts of the body, loss of consciousness"
Endocarditis,"a high temperature, chills, headache, joint and muscle pain"
Endometriosis,"severe period pain, that stops you from doing your normal activities, heavy periods, where you need to change your pads or tampons every 1 to 2 hours, or you may bleed through to your clothes., pain when you poo or pee"
Epidermolysis bullosa,"skin that blisters easily, blisters on the hands and soles of the feet, thickened skin that may be scarred or change colour over time, thickening of the skin and nails"
Epiglottitis,"a severe sore throat, difficulty and pain when swallowing, difficulty breathing, which may improve when leaning forwards, breathing that sounds abnormal and high-pitched (stridor), a high temperature, irritability and restlessness, muffled or hoarse voice, drooling"
Epiglottitis,"experiencing a severe sore throat and pain when swallowing, finding it hard to breathe but slightly easier when leaning forward, noticing a high-pitched sound with each breath (stridor), running a high temperature, feeling irritable and restless, with a muffled voice and drooling"
Epiglottitis,"sudden onset of a high fever, accompanied by an excruciating sore throat, extreme difficulty and pain trying to swallow, laboring to breathe but finding slight improvement while leaning forward, producing an abnormal, high-pitched sound when breathing (stridor), voice sounding muffled or hoarse, and constant drooling"
Epiglottitis,"severe pain when swallowing, intense sore throat, and noticeable difficulty in breathing, finding it somewhat easier to breathe when leaning forward, producing a high-pitched sound while breathing, running a high temperature, feeling unusually irritable, having a muffled voice, and experiencing constant drooling"
Epiglottitis,"struggling with a high fever and an intensely sore throat, facing significant difficulty and pain upon attempting to swallow, laboring to breathe but finding slight improvement while leaning forward, producing an abnormal, high-pitched sound when breathing (stridor), voice sounding muffled or hoarse, and experiencing constant drooling"
Epiglottitis,"experiencing a combination of a severe sore throat, intense pain during swallowing, and difficulty breathing, finding slight relief when leaning forward, producing an abnormal high-pitched sound while breathing, running a high temperature, feeling restless, voice sounding muffled, and constantly drooling"
Epiglottitis,"having a high fever and severe sore throat, struggling with pain and difficulty when swallowing, laboring to breathe, finding slight relief when leaning forward, experiencing abnormal breathing sounds (stridor), feeling unusually irritable and restless, noticing a muffled or hoarse voice, and experiencing excessive drooling"
Epiglottitis,"presenting with a severe sore throat and significant pain when swallowing, facing difficulty breathing which improves slightly when leaning forward, producing an abnormal high-pitched sound while breathing (stridor), running a high temperature, feeling unusually irritable, voice sounding muffled, and experiencing excessive drooling"
Epiglottitis,"severe sore throat making it difficult to swallow, struggling to breathe but finding slight relief when leaning forward, high-pitched sound while breathing, high temperature, irritability, muffled voice, and constant drooling"
Epiglottitis,"difficulty and pain when swallowing accompanied by a severe sore throat, trouble breathing that improves when leaning forward, abnormal and high-pitched breathing sounds, high temperature, irritability, muffled voice, and drooling"
Epiglottitis,"high temperature and severe sore throat, difficulty and pain when swallowing, trouble breathing that's better when leaning forward, abnormal breathing, irritability and restlessness, muffled voice, and drooling"
Epiglottitis,"experiencing a severe sore throat and difficulty swallowing, along with a fever, drooling, a muffled voice, and noisy breathing"
Epiglottitis,"presenting with a high temperature, severe sore throat, pain when swallowing, and breathing difficulties, accompanied by a muffled voice and drooling"
Epiglottitis,"a severe sore throat and high fever, along with noisy breathing, difficulty swallowing, and a muffled voice"
Epiglottitis,"difficulty breathing, a severe sore throat, and trouble swallowing, accompanied by drooling, a muffled voice, and a high temperature"
Epiglottitis,"experiencing a combination of a severe sore throat, difficulty swallowing, and noisy breathing, along with drooling, a muffled voice, and a fever"
Epiglottitis,"high fever and severe sore throat, accompanied by pain and difficulty swallowing, noisy breathing, and a muffled voice"
Epiglottitis,"difficulty breathing and swallowing, along with a severe sore throat, drooling, a muffled voice, and a high temperature"
Epiglottitis,"experiencing a sudden, severe sore throat, struggling to swallow with pain, and finding it hard to breathe, accompanied by a fever, a muffled voice, and constant drooling"
Epiglottitis,"marked by a severe sore throat and high fever, along with painful swallowing, breathing difficulties, a muffled voice, and drooling"
Epiglottitis,"experiencing a severe sore throat, difficulty swallowing, and noisy breathing, as well as a muffled voice, drooling, and a high temperature"
Epiglottitis,"presenting with a high fever and severe sore throat, accompanied by painful swallowing, breathing difficulties, a muffled voice, and drooling"
Epiglottitis,"characterized by a severe sore throat, high fever, difficulty swallowing, breathing difficulties, a muffled voice, and drooling"
Epiglottitis,"experiencing a combination of a high fever, severe sore throat, difficulty swallowing, breathing difficulties, a muffled voice, and drooling"
Epiglottitis,"a severe sore throat, trouble swallowing, difficulty breathing, fever, muffled voice, and drooling"
Epiglottitis,"high fever, severe sore throat, painful swallowing, difficulty breathing, muffled voice, and drooling"
Epiglottitis,"difficulty breathing, severe sore throat, painful swallowing, fever, muffled voice, and drooling"
Epiglottitis,"experiencing a high fever, severe sore throat, difficulty swallowing, noisy breathing, muffled voice, and drooling"
Epiglottitis,"a severe sore throat combined with pain when swallowing, difficulty breathing, a high-pitched noise when breathing, a high temperature, irritability, a hoarse voice, and drooling"
Epiglottitis,"suddenly developing a high fever and an excruciating sore throat, having extreme difficulty and pain when trying to swallow, laboring to breathe, producing a high-pitched sound when breathing, having a muffled or hoarse voice, and constantly drooling"
Epiglottitis,"presenting with severe pain when swallowing, an intense sore throat, and noticeable difficulty breathing, producing a high-pitched sound when breathing, having a muffled voice, and experiencing constant drooling"
Epiglottitis,"struggling with a high fever and an intensely sore throat, facing significant difficulty and pain upon attempting to swallow, laboring to breathe and producing an abnormal, high-pitched sound when breathing with a muffled or hoarse voice, and experiencing constant drooling"
Epiglottitis,"experiencing a severe sore throat, intense pain during swallowing, and difficulty breathing, producing an abnormal high-pitched sound while breathing, running a high temperature, feeling restless, having a muffled voice, and constantly drooling"
Epiglottitis,"having a high fever and severe sore throat, struggling with pain and difficulty when swallowing, experiencing abnormal breathing sounds, feeling unusually irritable and restless, having a muffled or hoarse voice, and experiencing excessive drooling"
Epiglottitis,"presenting with a severe sore throat and significant pain when swallowing, facing difficulty breathing and producing an abnormal high-pitched sound when breathing, running a high temperature, feeling unusually irritable, having a muffled voice, and experiencing excessive drooling"
Epilepsy,"uncontrollable jerking and shaking, called a ""fit"", losing awareness and staring blankly into space, becoming stiff, strange sensations, such as a ""rising"" feeling in the tummy, unusual smells or tastes, and a tingling feeling in your arms or legs, collapsing"
Erythrocytosis,"headaches, blurred vision, red skin, particularly in the face, hands and feet – this may be more difficult to see on black or brown skin, tiredness, high blood pressure, dizziness, discomfort in the tummy, confusion, bleeding problems – such as nosebleeds and bruising, gout – which can cause joint pain, stiffness and swelling, itchy skin – especially after a bath or shower"
Eye cancer,"shadows, flashes of light, or wiggly lines in your vision, blurred vision, a dark patch in your eye that's getting bigger, partial or total loss of vision, bulging of 1 eye, a lump on your eyelid or in your eye that's increasing in size, eye irritation that is not going away, pain in or around your eye, although this is rare"
Eye cancer,"Experiencing blurred vision seeing floaters and flashes of light noticing a growing dark spot on the iris and having difficulty with peripheral vision"
Eye cancer,"Noticing a bulging of one eye a lump on the eyelid that's increasing in size persistent eye irritation and changes in the shape of the pupil"
Eye cancer,"Experiencing partial or total loss of vision seeing wiggly lines or shadows having pain in or around the eye and noticing a change in eye movement"
Eye cancer,"Blurred vision accompanied by floaters a growing dark spot on the iris change in pupil shape and loss of peripheral vision make everyday tasks difficult"
Eye cancer,"Bulging eye lump on the eyelid persistent eye irritation and changes in vision indicate cause for concern and need for examination"
Eye cancer,"Vision loss coupled with seeing wiggly lines or shadows persistent pain in or around the eye and changes in eye movement warrant immediate consultation"
Eye cancer,"A combination of blurred vision floaters flashes of light growing dark spot on the iris and difficulty with peripheral vision affect vision and eye health"
Eye cancer,"Bulging of one eye a lump on the eyelid persistent eye irritation and changes in pupil shape require careful evaluation and monitoring"
Eye cancer,"Partial or total loss of vision seeing wiggly lines or shadows persistent pain in or around the eye and noticeable changes in eye movement require thorough assessment"
Eye cancer,"Experiencing blurred vision floaters flashes of light a growing dark spot on the iris difficulty with peripheral vision and night blindness impacting daily life"
Eye cancer,"A noticeable bulging of one eye accompanied by a lump on the eyelid that continues to increase in size persistent eye irritation that doesn't respond to treatment and concerning changes in the shape of the pupil requires medical intervention"
Eye cancer,"Experiencing partial or total loss of vision seeing wiggly lines or shadows disrupting vision persistent pain in or around the eye that interferes with daily activities and noticeable changes in eye movement affecting coordination should be promptly evaluated"
Eye cancer,"Recurring blurry vision frequent floaters and flashes of light alongside a dark spot on the iris that is getting bigger all lead to declining peripheral vision and make simple activities a challenge"
Eye cancer,"One eye is bulging more than usual a lump is present and growing on the eyelid there's ongoing irritation in the eye and the pupil shape has changed indicating an underlying issue"
Eye cancer,"Vision loss is occurring more frequently there are wiggly lines and shadows disrupting sight pain around the eye persists and is difficult to ignore and eye movements are not as coordinated as they used to be"
Eye cancer,"A concerning combination of blurry vision floaters flashes of light a growing dark spot on the iris difficulty with peripheral vision and night blindness begins to take a toll on your overall quality of life"
Eye cancer,"A bulge is forming in one eye that seems to be getting more pronounced a lump is present on the eyelid and continues to grow constant irritation is experienced despite treatment efforts and the shape of the pupil has changed indicating a serious underlying issue"
Eye cancer,"Vision continues to decline with increasing frequency wiggly lines and shadows continue to impair sight pain around the eye is now constant and hard to ignore and eye movements are becoming uncoordinated which requires professional attention"
Eye cancer,"Constant blurry vision combined with floaters frequent flashes of light a growing dark spot and loss of peripheral sight affect ability to see clearly"
Eye cancer,"Visible bulging of one eye a growing lump on the eyelid and persistent eye irritation make everyday activities difficult"
Eye cancer,"Vision loss seeing wiggly lines or shadows persistent eye pain and changes in eye movement all contribute to a decline in quality of life"
Eye cancer,"Blurred vision floaters flashes of light a dark spot on the iris loss of peripheral vision and night blindness are all signs and symptoms"
Eye cancer,"Experiencing a bulge a growing lump on the eyelid persistent irritation and changes in pupil shape requires an examination"
Eye cancer,"Loss of vision and seeing wiggly lines with pain and changes in eye movement all require a consultation"
Eye cancer,"Blurred vision along with floaters flashes a dark spot loss of peripheral sight and night blindness affecting vision"
Eye cancer,"Bulging a lump irritation and changes in pupil shape affecting overall eye health"
Eye cancer,"Vision loss seeing wiggly lines or shadows and pain affecting visual perception"
Eye cancer,"Experiencing blurred vision seeing floaters and flashes of light a growing dark spot on the iris and having difficulty with peripheral vision also noting a change in pupil shape and persistent eye redness"
Eye cancer,"Noticing a bulging of one eye a lump on the eyelid that's increasing in size persistent eye irritation that doesn't respond to treatment and changes in eye movement also dealing with double vision and headaches"
Eye cancer,"Experiencing partial or total loss of vision that comes on suddenly seeing wiggly lines or shadows that weren't there before having pain in or around the eye that is constant and severe and also noticing a change in the color of the iris plus sensitivity to light"
Eye cancer,"Blurred vision and seeing floaters disrupt reading a dark spot on the iris is now affecting field of vision changes in pupil shape have made vision worse and overall eye health is declining"
Eye cancer,"The bulge is more pronounced the lump on eyelid is more visible irritation in the eye has become chronic the shape of pupil has changed"
Eye cancer,"Vision gets worse seeing wiggly lines disrupts the ability to focus persistent eye pain disrupts concentration"
Eye cancer,"Blurred vision due to floaters a growing dark spot on the iris and loss of peripheral vision also noticing a change in pupil shape and seeing flashes of light that interfere with everyday life"
Eye cancer,"Bulging eye with increasing size a growing lump that won't go away persistent eye irritation despite treatment and changes in pupil shape with each passing day"
Eye cancer,"Experiencing vision loss seeing wiggly lines or shadows persistent eye pain that never subsides and constant changes in eye movement affecting coordination"
Eye cancer,"A combination of blurry vision floaters flashes of light and a growing dark spot is also affecting peripheral vision"
Eye cancer,"The bulge in one eye is increasing accompanied by a lump on the eyelid that has grown larger and become more irritating"
Eye cancer,"Vision continues to deteriorate the floaters and wiggly lines seem to grow over time persistent pain affects concentration and each movement has become uncoordinated"
Eye cancer,"Blurred vision seeing floaters flashes of light and noticing a growing dark spot accompanied by a change in pupil shape"
Eye cancer,"Experiencing bulging in one eye along with a lump on the eyelid that’s increasing in size plus persistent eye irritation that just won't go away"
Eye cancer,"Vision loss seeing wiggly lines and shadows persistent pain in or around the eye and a change in eye movement make everyday life difficult"
Eye cancer,"Experiencing blurry and decreased vision that's becoming a daily struggle accompanied by frequent flashes of light shadows or floaters"
Eye cancer,"Noticing a change in position of the eye within the socket coupled with a dark spot on the colored part of the eye that is getting bigger"
Eye cancer,"Persistent eye redness or irritation that doesn’t go away paired with a lump on the surface of the eye"
Eye cancer,"Experiencing a change to eye movement or position of the eye in the eye socket plus a loss of peripheral vision"
Eye cancer,"Experiencing both blurry vision and poor vision in one eye combined with not being able to see when looking to the side"
Eye cancer,"Seeing spots or squiggles drifting in the field of vision and a change in the size or shape of the pupil that occurs suddenly"
Eye cancer,"Change in the way the eye moves within the socket coupled with lumps on the eyelid or other parts of the eye"
Eye cancer,"Seeing shadows flashes of light or wiggly lines in your vision along with a growing dark patch in your eye"
Eye cancer,"A lump on your eyelid or in your eye that's increasing in size plus eye irritation that is not going away"
Eye cancer,"Eye irritation is not going away and a change in the position of the eye in the eye socket"
Eye cancer,"A growing dark patch in your eye and vision problems including blurry vision or loss of vision"
Eye cancer,"Experiencing blurred or decreased vision along with a lump on your eyelid that's increasing in size"
Eye cancer,"An unusual dark spot on the eye coupled with blurred or poor vision in one eye"
Eye cancer,"Experiencing eye redness or irritation that doesn’t go away along with change in the size or shape of the pupil"
Eye cancer,"Experiencing vision problems including blurry vision or loss of vision coupled with floaters"
Eye cancer,"Experiencing changes in eye movement or the position of the eye in the eye socket along with a change in the shape of the pupil"
Fainting,"dizziness, cold skin and sweating, feeling warm or hot, feeling sick, changes to your vision"
Fibromyalgia,"increased sensitivity to pain, muscle stiffness, difficulty getting to sleep or staying asleep, which can make you feel very tired (fatigue), problems with mental processes (known as ""fibro-fog""), such as difficulty concentrating or remembering things, headaches, irritable bowel syndrome (IBS), a digestive condition that causes stomach pain and bloating, feelings of frustration, worry or low mood"
Gallstones,"persistent pain, yellowing of the skin and eyes (jaundice), a high temperature"
Generalised anxiety disorder (GAD),"difficulty sleeping, feeling restless, irritable or finding it difficult to concentrate, getting tired easily, feeling tense, stomach problems, a more noticeable or unusual heartbeat (palpitations), feeling lightheaded or dizzy, low mood or depression"
Temporal arteritis,"frequent, severe headaches, pain or tenderness at the side of your head (temples) or on the scalp, jaw pain while eating or talking, vision problems, such as double vision or loss of vision in 1 or both eyes"
Giardiasis,"smelly diarrhoea, tummy pain or cramps, farting (flatulence), smelly burps – they may smell like eggs, bloating, weight loss"
Glaucoma,"severe eye pain,blurred vision,nausea,vomiting,halos around lights,redness in the eye,sudden loss of vision,headache,tenderness around the eyes,sensitivity to bright lights,gradual peripheral vision loss,eye pressure,difficulty adjusting to darkness"
Glaucoma,"intense headache,swollen eye,hazy or foggy vision,increased sensitivity to light,throbbing pain in one or both eyes,mild nausea,intermittent blurry vision,flashes of light in peripheral vision,dry eyes,eye strain,tunnel vision,eye discomfort"
Glaucoma,"persistent eye pain,blind spots in vision,redness,vision gradually worsening,headache spreading to temples,dizziness,pressure behind the eyes,cloudy vision,occasional pain while blinking,light sensitivity,dilated pupils,eye fatigue,halo around streetlights"
Glaucoma,"eye discomfort,frequent headaches,blurred vision after prolonged screen use,pressure sensation inside the head,halos around bright objects,nausea,red and irritated eyes,mild eye twitching,difficulty focusing on close objects,gradual vision narrowing,throbbing eye pain"
Glaucoma,"sharp eye pain,nausea after exposure to bright lights,red eye,throbbing headaches,difficulty seeing at night,loss of peripheral vision,flashes of color in peripheral vision,eye fatigue,cloudy and dim vision,pressure inside the head,headache in temples"
Glaucoma,"burning sensation in the eyes,pressure in the forehead,mild but persistent eye pain,gradual narrowing of vision,swollen eyelids,headache that worsens over time,discomfort when reading,occasional dizziness,blurred peripheral vision,light sensitivity,nausea"
Glaucoma,"deep pain inside the eye,sensitivity to flashing lights,tunnel vision,distorted vision,frequent eye strain,migraines,dry eyes,difficulty distinguishing colors,blurry vision when waking up,halos forming around headlights,headache near the eyes"
Glaucoma,"throbbing pain in one eye,intermittent eye redness,difficulty focusing on distant objects,increasingly frequent migraines,pressure around the temples,swelling around the eyes,nausea,dizziness,difficulty adjusting from bright to dim environments,blurred side vision"
Glaucoma,"constant dull ache behind the eye,vision becoming cloudy,gradual loss of side vision,eye irritation,mild headache in the morning,blurred vision in low light,mild nausea,red and swollen eye,frequent need to blink to clear vision,eye fatigue,light sensitivity"
Glaucoma,"sudden vision loss in one eye,aching eye pain,nausea,vomiting,halos around bright lights,headache,pressure inside the head,blurred vision after prolonged reading,discomfort in bright rooms,occasional flashes of light in vision,cloudy peripheral vision"
Glaucoma,"persistent dull ache in one eye,blurred vision,pressure sensation around the forehead,halos around streetlights,headache worsening at night,light sensitivity,eye watering,dryness,tunnel vision,mild dizziness,intermittent visual disturbances"
Glaucoma,"eye strain when reading,blurred vision after screen use,pulsating eye pain,sensitivity to bright light,headache centered around the eyes,swollen eyelid,redness in one eye,nausea,difficulty recognizing faces from afar,pressure around the eye"
Glaucoma,"discomfort in one eye,gradual loss of peripheral vision,halos forming around bright objects,difficulty focusing on moving objects,dry eyes,mild dizziness,throbbing headaches,sensation of heavy eye,occasional blurry vision,pressure inside the head,light halos"
Glaucoma,"sensation of a tight band around the eye,eye fatigue after reading,tunnel vision,blurred vision at night,mild eye pain,pressure around temples,halos around bright screens,occasional nausea,dry and irritated eyes,vision dimming over time"
Glaucoma,"pulsating pain behind the eye,blurred vision,flashes of light in peripheral vision,migraines,nausea,eye pressure,sensitivity to bright lights,discomfort in dim rooms,gradual vision loss,red and swollen eye,throbbing headache,blurred peripheral vision"
Glaucoma,"throbbing headache,nausea,dry and itchy eyes,blurry vision after prolonged reading,pressure around the eyes,halos around bright objects,occasional pain while blinking,difficulty focusing on distant objects,gradual narrowing of vision"
Glaucoma,"eye pain that worsens in the evening,blurred vision,pressure sensation inside the eye,halos forming around bright lights,headache spreading to the forehead,eye fatigue,red and swollen eyelid,nausea,light sensitivity,intermittent visual distortion"
Glaucoma,"tunnel vision,gradual loss of peripheral vision,throbbing pain in one eye,headache,pressure around the temples,blurred vision in low light,red eye,dryness,sensitivity to flashing lights,frequent eye strain,halo vision,eye discomfort"
Glaucoma,"blurred vision after waking up,discomfort when focusing on small text,pressure behind the eyes,mild headaches,swollen eyelid,halos around lights,dry eyes,intermittent blurry vision,eye strain after screen time,nausea,vision fogging"
Glaucoma,"persistent mild eye pain,gradual narrowing of vision,throbbing headache,red and irritated eyes,difficulty distinguishing shapes in dim light,halos around car headlights,nausea,pressure inside the head,occasional eye twitching,dry eyes"
Glaucoma,"sensation of something pressing against the eye,blurred vision,mild nausea,intermittent pain in one eye,halos forming around bright objects,dry and irritated eyes,headache that comes and goes,eye strain,difficulty focusing on moving objects"
Glaucoma,"dizzy spells combined with blurred vision,eye discomfort when exposed to bright lights,deep pain inside the eye,gradual vision loss,swollen eyelid,light sensitivity,pressure behind the eye,nausea,visual disturbances,halos around light sources"
Glaucoma,"pulsating eye pain,blurred vision when looking at bright screens,headache focused on one side,nausea,eye strain,dryness,gradual loss of side vision,pressure around the eyes,difficulty seeing at night,halos around lights"
Glaucoma,"eye strain after prolonged reading,blurred peripheral vision,light sensitivity,pressure inside the head,mild headache,nausea,redness in one eye,throbbing pain near the temples,occasional flashes of light,dizziness"
Glaucoma,"discomfort around the eye socket,gradual narrowing of vision,eye redness,intermittent headaches,pressure around the eyes,nausea,cloudy vision,halos around light bulbs,eye fatigue,mild pain while blinking,light sensitivity"
Glaucoma,"increasing eye pressure,blurred vision when exposed to sunlight,halos around bright objects,mild nausea,headache near the eyes,gradual vision loss,dry eyes,pulsating pain inside the eye,discomfort when reading,tunnel vision,eye redness"
Glaucoma,"persistent redness in one eye,blurred vision after extended screen time,mild but persistent eye pain,nausea,gradual loss of peripheral vision,pressure behind the eyes,light sensitivity,occasional dizziness,throbbing headache,halos around lights"
Glaucoma,"mild eye pain,discomfort when reading small text,gradual narrowing of vision,halos around bright objects,pressure inside the head,swollen eyelid,blurred vision at night,eye strain,frequent blinking to clear vision,headache,nausea"
Glaucoma,"gradual loss of side vision,eye strain after prolonged focus,blurred vision,sensitivity to bright lights,throbbing headache,red eye,pressure sensation inside the head,nausea,intermittent pain in the eye,dry eyes,halo around light sources"
Glaucoma,"persistent eye fatigue,blurred vision,dry eyes,pressure behind the eyes,occasional flashes of light,mild headache,gradual narrowing of vision,halos around lights,eye pain,nausea,dizziness,redness in one eye"
Glaucoma,"sensation of heavy eye,gradual loss of peripheral vision,blurred vision in low light,pressure around the temples,nausea,throbbing headaches,halos forming around bright objects,dryness,eye strain,cloudy vision,discomfort when blinking"
Glaucoma,"eye pain that worsens throughout the day,blurred peripheral vision,mild but persistent headaches,pressure behind the eyes,halos around lights,dry and itchy eyes,nausea,discomfort in bright rooms,visual distortions,intermittent eye redness"
Glomerulonephritis,"rashes, joint pain, stomach pain, high temperature, shortness of breath, yellowing of the whites of the eyes or the skin, although this may be less noticeable on brown or black skin (jaundice), peeing a lot less than usual, tiredness, loss of appetite and weight loss"
Granulomatosis with polyangiitis (GPA),"high temperature, night sweats, feeling weak and tired, joint pain, loss of appetite, weight loss"
Guillain-Barré syndrome,"sharp, shooting pain (nerve pain), often in your legs or back, problems breathing, problems with your face, such as drooping face muscles or trouble swallowing or speaking, problems with your eyes, such as double vision"
Haemochromatosis,"feeling very tired all the time (fatigue), weight loss, weakness, joint pain, an inability to get or maintain an erection (erectile dysfunction), irregular periods or stopped or missed periods, Brain fog, mood swings, depression and anxiety"
Haemophilia,"bleeding for a long time after an injury, surgery, or having a tooth removed, bruising easily, joint pain, stiffness and swelling"
Haemophilus influenzae type b (Hib),"a high temperature, difficulty breathing – babies may make grunting noises, being sleepier than normal or difficult to wake, blue, grey, pale or blotchy skin, lips or tongue – on brown or black skin this may be noticeable under the nails or around the eyes, a rash that looks like small bruises or bleeding under the skin and does not disappear when you press a glass against it, a headache, a sore throat, swollen or painful joints"
Heart attack,"chest pain – a feeling of pressure, heaviness, tightness or squeezing across your chest, pain in other parts of the body – it can feel as if the pain is spreading from your chest to your arms (usually the left arm, but it can affect both arms), jaw, neck, back and tummy, feeling lightheaded or dizzy, sweating, shortness of breath, feeling sick (nausea) or being sick (vomiting), an overwhelming feeling of anxiety (similar to a panic attack), coughing or wheezing"
Heart block,"lightheaded or dizzy, faint"
Heart failure,"breathlessness after activity or at rest, feeling tired most of the time and finding exercise exhausting, feeling lightheaded or fainting, swollen ankles and legs"
Hepatitis,"muscle and joint pain, a high temperature, feeling and being sick, feeling unusually tired all the time, a general sense of feeling unwell, loss of appetite, tummy pain, dark urine, pale, grey-coloured poo, itchy skin, yellowing of the eyes and skin (jaundice)"
Hepatitis C,"flu-like symptoms, such as muscle aches and a high temperature (fever), feeling tired all the time, loss of appetite, stomach ache, feeling and being sick"
Hereditary haemorrhagic telangiectasia (HHT),"regular nosebleeds, visible red spots in certain places on the body"
Hereditary spastic paraplegia,"a gradual weakness in the legs, increased muscle tone and stiffness (spasticity), problems peeing – such as an urgent need to pee, even when the bladder is not full, a lack of sensation in the feet (sometimes)"
Hidradenitis suppurativa (HS),"around the groin and genitals, in the armpits, on the bottom and around the anus, below the breasts"
High blood pressure,"headaches, blurred vision, chest pain"
Highbloodsugar(hyperglycaemia),"feeling very thirsty, peeing a lot, feeling weak or tired, blurred vision, losing weight"
Highbloodsugar(hyperglycaemia),"feeling very thirsty,peeing frequently,extreme fatigue,blurred vision,unexplained weight loss,dry mouth,headache,slow healing wounds,increased hunger,dizziness,irritability"
Highbloodsugar(hyperglycaemia),"constant thirst,frequent urination,tiredness,blurred vision,nausea,dry skin,rapid heartbeat,tingling hands and feet,weight loss,headaches"
Highbloodsugar(hyperglycaemia),"dry mouth,excessive thirst,fatigue,frequent urination,blurred vision,irritability,numbness in fingers,weight loss,abdominal pain,dizziness"
Highbloodsugar(hyperglycaemia),"severe thirst,frequent bathroom visits,constant tiredness,headaches,blurry vision,dry and itchy skin,increased appetite,rapid breathing,weakness"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent urination,fatigue,dry mouth,weight loss,blurred vision,slow wound healing,tingling hands,irritability,stomach pain"
Highbloodsugar(hyperglycaemia),"extreme thirst,urinating a lot,tiredness,dry lips,blurred eyesight,rapid heart rate,numb fingers,loss of appetite,headaches,frequent infections"
Highbloodsugar(hyperglycaemia),"constant thirst,frequent urination,feeling drained,blurry vision,rapid heartbeat,dry skin,headache,stomach discomfort,numbness in feet,weight loss"
Highbloodsugar(hyperglycaemia),"excessive thirst,frequent urination,fatigue,blurred vision,irritability,headaches,unexplained weight loss,skin dryness,tingling hands,dizziness"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent urination,constant tiredness,dry skin,headaches,blurry vision,weight loss,stomach cramps,rapid heartbeat,weakness"
Highbloodsugar(hyperglycaemia),"thirstiness,frequent peeing,extreme fatigue,blurred vision,headaches,abdominal pain,dry skin,weight loss,tingling fingers,irritability"
Highbloodsugar(hyperglycaemia),"dry mouth,excessive thirst,frequent urination,fatigue,blurred eyesight,headaches,weight loss,tingling feet,abdominal pain,irritability"
Highbloodsugar(hyperglycaemia),"constant dry mouth,frequent urination,blurred vision,weight loss,headaches,extreme fatigue,dry itchy skin,rapid heart rate,tingling hands,nausea"
Highbloodsugar(hyperglycaemia),"increased thirst,frequent bathroom trips,fatigue,dry skin,blurred vision,rapid heartbeat,weight loss,irritability,tingling feet,headaches"
Highbloodsugar(hyperglycaemia),"unquenchable thirst,frequent urination,blurred vision,fatigue,weight loss,dry mouth,headache,stomach pain,tingling fingers,weakness"
Highbloodsugar(hyperglycaemia),"constant thirstiness,frequent urination,extreme tiredness,blurred vision,headaches,weight loss,stomach cramps,dry skin,rapid heartbeat"
Highbloodsugar(hyperglycaemia),"dry mouth,excessive thirst,frequent urination,fatigue,blurry eyesight,stomach pain,headaches,weight loss,tingling hands,dizziness"
Highbloodsugar(hyperglycaemia),"severe thirst,frequent urination,blurred vision,extreme fatigue,headaches,dry itchy skin,weight loss,abdominal pain,rapid heartbeat,weakness"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent bathroom visits,constant tiredness,dry lips,blurred vision,headaches,weight loss,tingling feet,stomach discomfort"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent urination,fatigue,dry skin,blurred vision,headaches,weight loss,tingling hands,stomach cramps,dizziness"
Highbloodsugar(hyperglycaemia),"constant dry mouth,frequent urination,blurred eyesight,fatigue,weight loss,headaches,rapid heartbeat,stomach pain,tingling fingers"
Highbloodsugar(hyperglycaemia),"unquenchable thirst,frequent bathroom trips,blurred vision,extreme fatigue,headaches,dry skin,weight loss,tingling feet,stomach pain"
Highbloodsugar(hyperglycaemia),"dry mouth,excessive thirst,frequent urination,fatigue,blurry vision,stomach cramps,headaches,weight loss,tingling hands,irritability"
Highbloodsugar(hyperglycaemia),"severe thirstiness,frequent urination,blurred vision,extreme fatigue,headaches,dry skin,weight loss,abdominal pain,tingling fingers"
Highbloodsugar(hyperglycaemia),"constant thirst,frequent peeing,fatigue,blurred eyesight,headaches,weight loss,stomach cramps,dry mouth,rapid heartbeat,irritability"
Highbloodsugar(hyperglycaemia),"dry mouth,frequent urination,extreme thirst,blurred vision,fatigue,headaches,weight loss,dizziness,stomach pain,tingling hands"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent urination,fatigue,blurred eyesight,headaches,weight loss,tingling fingers,stomach cramps,dry itchy skin"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent bathroom visits,blurred vision,extreme fatigue,headaches,weight loss,dry skin,tingling feet,stomach pain"
Highbloodsugar(hyperglycaemia),"constant dry mouth,frequent urination,blurred eyesight,weight loss,headaches,fatigue,dry skin,rapid heartbeat,stomach cramps"
Highbloodsugar(hyperglycaemia),"severe thirstiness,frequent peeing,fatigue,blurred vision,headaches,weight loss,dry itchy skin,tingling hands,stomach pain"
Highbloodsugar(hyperglycaemia),"unquenchable thirst,frequent bathroom trips,blurred eyesight,fatigue,weight loss,headaches,dry skin,tingling fingers,irritability"
